Decision ID,Source/Step,Source Evidence,Affected Module/Scope,Classification,Trigger,Decision,Rationale/Handling,Authority,Impact,Affected Artifacts/Core Scope,Dependency,Status,Provenance
D-M01M15-037,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M10,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: M10 remains authorization/RBAC/Scope/RLS authority; exact physical permission IDs remain controlled/open where evidence absent.,No invented IDs.,M10,Semantic / architecture / evidence-boundary as applicable,M10-WP03/04; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-038,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M10,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Condition/ownership/organization graph must remain explicit without transferring domain business authority.,Cross-domain authorization graph.,M10,Semantic / architecture / evidence-boundary as applicable,M10-WP03; IP-01/IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-039,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M11,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: M11 public surface registry must include ten mandatory surfaces, including Static Public Content and Announcement/Promotion.",Explicit ten-surface registry.,M11,Semantic / architecture / evidence-boundary as applicable,M11-WP01; IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-040,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M11,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: M11 exposes SEO, public discovery, tracking and measurement; it does not own lifecycle/business outcomes.",Observation/discovery boundary.,M11,Semantic / architecture / evidence-boundary as applicable,M11-WP02/04; IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-041,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M11,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Public/private indexing must follow authoritative domain visibility; private/protected resources excluded.,No public-data leakage.,M11,Semantic / architecture / evidence-boundary as applicable,M11-WP02; IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-042,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M11,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Static Public Content and Announcement/Promotion must propagate through discovery/measurement without transferring lifecycle authority to M11.,M09/domain lifecycle → M11 discovery.,M11,Semantic / architecture / evidence-boundary as applicable,M11-WP01/04; IP-12/IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-043,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M12,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Organization Public Content ownership wording must preserve M12 context/ownership, M09 applicable admin/config, M11 discovery.",Controlled boundary.,M12,Semantic / architecture / evidence-boundary as applicable,M12-WP01/04; IP-02/IP-12/IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-044,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M12,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Physical ORG-ADMIN label must not create a new platform Organization Admin role.,Downstream auth mapping.,M12,Semantic / architecture / evidence-boundary as applicable,M12-WP04; IP-01/IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-045,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M12,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Lead Exit → CLOSING → CLOSED; no Lead Transfer/successor/privilege inheritance.,Lifecycle invariant.,M12,Semantic / architecture / evidence-boundary as applicable,M12-WP01; IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-046,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M13,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Provider Catalogue mutation is Superadmin-only; historical Admin-curated wording must not persist.,Core/API/RLS traceability.,M13,Semantic / architecture / evidence-boundary as applicable,M13-WP01; IP-14/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-047,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M13,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: BYOK ownership is Agent/User OWN; no broad internal-role ownership.,Ownership/security boundary.,M13,Semantic / architecture / evidence-boundary as applicable,M13-WP02; IP-14/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-048,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M13,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Complete connection lifecycle, invocation precondition, raw-credential privacy, provider retirement/outage and bulk-revoke execution mode must be explicit.",Plan lifecycle/security propagation.,M13,Semantic / architecture / evidence-boundary as applicable,M13-WP02/03; IP-14/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-049,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M13,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Exact lifecycle/API/RLS/uniqueness/disconnect/force-action details remain downstream evidence-gated.,No invented identifiers.,M13,Semantic / architecture / evidence-boundary as applicable,M13-WP03; IP-14/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-050,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M14,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Subscription/add-on lifecycle and temporal invariants require explicit Core contract mapping.,Planning traceability.,M14,Semantic / architecture / evidence-boundary as applicable,M14-WP01/03; IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-051,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M14,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Purchase snapshot and confirmed_at invariants must be explicit.,Immutable commercial evidence.,M14,Semantic / architecture / evidence-boundary as applicable,M14-WP01/02; IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-052,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M14,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Trusted payment verification, idempotent fulfillment, entitlement lifecycle, quota chain and reconciliation require explicit mapping.",Provider evidence is not confirmation.,M14,Semantic / architecture / evidence-boundary as applicable,M14-WP02/03; IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-053,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M14,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Refresh Allowance is additive M14 authority; M14 owns allowance, M03 owns action/eligibility/consumption; no new M14 permission.",Explicit cross-module contract.,M14,Semantic / architecture / evidence-boundary as applicable,M14-WP04; IP-07/IP-04,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-054,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M14,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Q01–Q64 belong to M14; do not reattribute them to M15.,Scope-control invariant.,M14,Semantic / architecture / evidence-boundary as applicable,M14-WP01/03; IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-055,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M15,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: M15 owns qualification/evidence evaluation/Award; consumes M04 evidence and must not absorb M14 Q01–Q64.,Maintain authority boundary.,M15,Semantic / architecture / evidence-boundary as applicable,M15-WP01/02/03; IP-09/IP-06/IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-056,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M15,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Award provenance/rule-version snapshot and appeal/presentation remain explicit; presentation is downstream/non-owning.,No Award issuance leakage.,M15,Semantic / architecture / evidence-boundary as applicable,M15-WP03/04; IP-09/IP-02/IP-11/IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-057,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M15,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Physical permission IDs/API/RLS/runtime remain downstream controlled; no invented authority identifiers.,Evidence-gated.,M15,Semantic / architecture / evidence-boundary as applicable,M15-WP02/03; IP-09/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-LOCK-001,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,M14,LOCKED,M14 locked scope,"Q01–Q64, including Q40/Q54/Q61/Q62, remain M14.",No M15 reassignment.,M14,Semantic,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
D-LOCK-002,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,M10,LOCKED,M10 locked governance,Permission Preset is optional configuration for an existing Role; never a new Role and never outside Role Permission baseline.,No role/capability escape.,M10,RBAC/authorization,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
D-LOCK-003,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,M15,LOCKED,M15 authority boundary,M15 owns qualification/evidence evaluation/Award and consumes governed upstream evidence; it does not absorb M14 Q01–Q64.,Keep Learning/commercial truth outside Award authority.,M15/M04/M14,Semantic,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
D-LOCK-004,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,M03/M14,LOCKED,M03/M14 locked contract,M03 owns Listing/Refresh action semantics; M14 supplies commercial allowance.,No authority inversion.,M03/M14,Cross-domain authority,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
D-LOCK-005,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,M04,LOCKED,M04 locked authority,"M04 owns Learning Economy/LP, Learning Path, Session and evidence production.",M15 consumes evidence; Learning truth remains M04.,M04/M15,Semantic,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
D-LOCK-006,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,M11,LOCKED,M11 locked surface inventory,M11 owns discovery/SEO/measurement for ten mandatory public surfaces; lifecycle/configuration remains with M09 or applicable source domain.,No lifecycle authority transfer to M11.,M11/M09/domains,Discovery,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
D-LOCK-007,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE locked decision,Core,LOCKED,Frozen Core rule,Core v1.3 is immutable/read-only.,No in-place Core mutation.,Core,Governance,Locked decision register,P13_DECISION_CHANGE_LOG→P14_PROJECT_MANIFEST,Current,P12_RECONCILIATION_EVIDENCE v1.1 locked decision corpus
