finding_id,module,classification,core_artifact_id,core_path,mxx_authority_artifact,affected_semantic_component,mxx_rule_delta_or_resolution,exact_reconcile_scope,merge_action,update_granularity,unaffected_core_detail_retained,whole_rule_set_replaced,whole_artifact_replaced,omitted_core_detail_deleted,authority_used_for_unrelated_deletion,closure
M14-CI-016,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Allocation,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-017,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Usage,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-018,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,COMMERCIAL,Refund / chargeback,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-019,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Reconciliation,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-020,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,RULE_CONDITION;API_CONTRACT,Refresh Allowance,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-03,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Qualification/evidence,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-04,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Partner Learning,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-05,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Developer Learning,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-08,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,RBAC_RLS,Permission,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-10,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Visibility/Presentation,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-11,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Approval,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-12,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,API_CONTRACT,API,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-15,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,RBAC_RLS,RBAC/RLS,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-16,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Functional,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-17,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Technical,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-18,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,UI/UX,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M15-IA-19,M15,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,SEMANTIC_GENERAL,Dependencies,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
