archive,relative_path,zip_nesting_level,size
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/14_STEP11-E_CORE_V1_3_RESIDUAL_REGISTER.csv,2,510
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/14_STEP11-E_CORE_V1_3_RESIDUAL_REGISTER_v1.2.csv,2,999
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/15_STEP11-E_POST_CORRECTION_DEEP_RESCAN.json,2,992
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/15_STEP11-E_POST_CORRECTION_DEEP_RESCAN_v1.1.json,2,603
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/15_STEP11-E_POST_CORRECTION_DEEP_RESCAN_v1.2.json,2,550
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/16_STEP11-E_FINAL_GATE_SUMMARY.json,2,406
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/16_STEP11-E_FINAL_GATE_SUMMARY_v1.1.json,2,663
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/16_STEP11-E_FINAL_GATE_SUMMARY_v1.2.json,2,452
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/17_STEP11-E_SHA256_PROVENANCE_MANIFEST.json,2,1168
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/17_STEP11-E_SHA256_PROVENANCE_MANIFEST_v1.1.json,2,740
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/17_STEP11-E_SHA256_PROVENANCE_MANIFEST_v1.2.json,2,1443
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/18_STEP11-E_FULL_VERSION_REPORT_v1.1_FINAL_CORRECTED.docx,2,41743
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/18_STEP11-E_FULL_VERSION_REPORT_v1.2_FINAL_REBUILT.docx,2,41282
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/19_STEP11-E_ARTIFACT_SHA256_MANIFEST.json,2,3353
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/19_STEP11-E_ARTIFACT_SHA256_MANIFEST_v1.1.json,2,4537
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/19_STEP11-E_ARTIFACT_SHA256_MANIFEST_v1.2.json,2,4072
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/20_STEP11-E_M01_M15_SCOPE_COVERAGE_MATRIX_v1.1.csv,2,2649
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/20_STEP11-E_M01_M15_SCOPE_COVERAGE_MATRIX_v1.2.csv,2,1274
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/21_STEP11-E_CORE_V1_3_E_SCOPE_RECONCILIATION_v1.1.csv,2,1606
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/21_STEP11-E_CORE_V1_3_E_SCOPE_RECONCILIATION_v1.2.csv,2,551
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/22_STEP11-E_CORRECTION_DISPOSITION_REGISTER_v1.1.csv,2,2376
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/22_STEP11-E_CORRECTION_DISPOSITION_REGISTER_v1.2.csv,2,1857
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/23_STEP11-E_SOURCE_EVIDENCE_INDEX_v1.1.csv,2,785
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/23_STEP11-E_SOURCE_EVIDENCE_INDEX_v1.2.csv,2,1962
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/24_STEP11-E_V1_1_TO_V1_2_ARTIFACT_PRESERVATION_MANIFEST.json,2,3047
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-E_WEBHOOK_IDEMPOTENCY_CONCURRENCY_FULL_VERSION_PACKAGE_v1.2_FINAL_REBUILT (2).zip,src1/__nested__/0022/__nested__/0027/25_STEP11-E_FINAL_PACKAGE_ARTIFACT_MANIFEST.json,2,7163
/mnt/data/p1_v11_source_scan/src1/Step11 Sync core.zip,src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,1,64866
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/00_README_STEP11-D_v1.3_FINAL_CORRECTED.md,2,598
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/00_STEP11-D_V1_1_V1_2_CONTENT_PRESERVATION_RECONCILIATION_v1.3.md,2,2174
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/01_STEP11-D_FULL_DEEP_SCAN_REPORT_v1.3_FINAL_RECONCILED.docx,2,40309
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/01_STEP11-D_FULL_DEEP_SCAN_REPORT_v1.3_FINAL_RECONCILED.md,2,11345
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/02_M01_M15_DEPENDENCY_MATRIX_v1.3.csv,2,7213
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/03_CROSS_MODULE_API_DEPENDENCY_MATRIX_v1.3.csv,2,3314
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/04_AUTHORITY_DEPENDENCY_MATRIX_v1.3.csv,2,2951
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/05_CORE_V1_3_STEP11_D_RESIDUAL_REGISTER_v1.3.csv,2,774
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/06_API_PRODUCER_CONSUMER_MATRIX_v1.3.csv,2,603
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/07_LIFECYCLE_DEPENDENCY_MATRIX_v1.3.csv,2,615
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/08_RESOURCE_IDENTIFIER_DEPENDENCY_MATRIX_v1.3.csv,2,669
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/09_CIRCULAR_DEPENDENCY_REGISTER_v1.3.csv,2,431
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/10_CROSS_MODULE_ERROR_PROPAGATION_MATRIX_v1.3.csv,2,522
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/11_SHARED_RESOURCE_CONFIGURATION_MATRIX_v1.3.csv,2,2228
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/12_LEGACY_DEPENDENCY_RECONCILIATION_v1.3.csv,2,1139
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/13_C_CONTROLLED_GAP_CLOSURE_REGISTER_v1.3.csv,2,1780
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/14_CROSS_MODULE_CONFLICT_RECONCILIATION_REGISTER_v1.3.csv,2,679
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/15_CONTROLLED_FINDING_REGISTER_v1.3.csv,2,11874
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/16_POST_CORRECTION_DEEP_RESCAN_v1.3.json,2,408
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/17_SHA256_PROVENANCE_MANIFEST_v1.3.json,2,464
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/18_ARTIFACT_SHA256_MANIFEST_v1.3.json,2,3417
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/18_PACKAGE_FINAL_GATE_SUMMARY_v1.3.json,2,609
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/19_ARTIFACT_SHA256_MANIFEST_v1.3.json,2,3221
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/19_PACKAGE_FINAL_GATE_SUMMARY.json,2,511
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-D_CROSS_MODULE_API_CONSISTENCY_FULL_VERSION_PACKAGE_v1.3_FINAL_CORRECTED_PRESERVATION_COMPLETE.zip,src1/__nested__/0022/__nested__/0028/20_CONTENT_PRESERVATION_AUDIT_v1.3.json,2,2521
/mnt/data/p1_v11_source_scan/src1/Step11 Sync core.zip,src1/__nested__/0022/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.zip,1,47315
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0029/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.md,2,13825
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0029/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.docx,2,42047
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0029/STEP11-F_v1.1_CORE_PROPAGATION_MATRIX.csv,2,4024
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-F_v1.1_FULL_VERSION_GOVERNANCE_CORRECTED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0029/STEP11-F_v1.1_OUTPUT_MANIFEST_SHA256.csv,2,400
/mnt/data/p1_v11_source_scan/src1/Step11 Sync core.zip,src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,1,19376
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/00_README_STEP11_A_TO_F_v2.0.md,2,3024
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/01_STEP11_A_TO_F_FULL_DEEP_SCAN_REPORT_v2.0.md,2,4899
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/02_STEP11_API_CORE_UPDATE_ROUTE_REGISTER_v2.0.csv,2,25480
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/03_STEP11_M01_M15_CORE_UPDATE_DISPOSITION_223_v2.0.csv,2,82037
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/04_STEP11_CORE_UPDATE_FINDING_REGISTER_v2.0.csv,2,3495
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/05_STEP11_AUTHORITY_CORE_PROPAGATION_MATRIX_v2.0.csv,2,1540
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/06_STEP11-F_GATE_AND_STEP11-G_HANDOFF_v2.0.md,2,1651
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/07_STEP11_PROVENANCE_SHA256_MANIFEST_v2.0.csv,2,2687
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/08_STEP11_SECOND_DEEP_SCAN_v2.0.md,2,759
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11_A_TO_F_FULL_CORE_UPDATE_REBUILD_v2.0_FINAL_FULL_VERSION.zip,src1/__nested__/0022/__nested__/0030/09_STEP11_MACHINE_SUMMARY_v2.0.json,2,1251
/mnt/data/p1_v11_source_scan/src1/Step11 Sync core.zip,src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,1,50597
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.md,2,12044
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_MASTER_REALIZATION_AND_CORE_SYNC_REGISTER.csv,2,26133
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_CORE_v1.3_SCOPE_G_SYNCHRONIZATION_MATRIX.csv,2,4742
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_M01-M15_G_REALIZATION_COVERAGE.csv,2,1074
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_SOURCE_PACKAGE_MANIFEST_SHA256.csv,2,794
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.docx,2,37913
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_MACHINE_SUMMARY.json,2,949
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-G_v1.2_FULL_VERSION_CORE_SYNC_REVALIDATED_DEEP_SCAN.zip,src1/__nested__/0022/__nested__/0031/STEP11-G_v1.2_OUTPUT_MANIFEST_SHA256.csv,2,903
/mnt/data/p1_v11_source_scan/src1/Step11 Sync core.zip,src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,1,50409
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_OUTPUT_MANIFEST_SHA256.csv,2,835
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF.md,2,8250
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_MACHINE_SUMMARY.json,2,1031
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_SOURCE_PACKAGE_MANIFEST_SHA256.csv,2,928
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF.docx,2,40131
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_M01-M15_SCOPE_H_COVERAGE_MATRIX.csv,2,3856
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_FINAL_GATE_FINDING_REGISTER.csv,2,12711
/mnt/data/p1_v11_source_scan/src1/__nested__/0022/STEP11-H_v1.1_FINAL_API_GATE_STEP12_HANDOFF_CORE_REVALIDATED.zip,src1/__nested__/0022/__nested__/0032/STEP11-H_v1.1_GATE_MATRIX.csv,2,2285
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/step12 sync core.zip,0,506801
/mnt/data/p1_v11_source_scan/src1/step12 sync core.zip,src1/__nested__/0033/STEP12-H_FINAL_RBAC_RLS_GATE_STEP13_HANDOFF_FULL_VERSION_v1.1_FULL_REBUILD.zip,1,12552
/mnt/data/p1_v11_source_scan/src1/__nested__/0033/STEP12-H_FINAL_RBAC_RLS_GATE_STEP13_HANDOFF_FULL_VERSION_v1.1_FULL_REBUILD.zip,src1/__nested__/0033/__nested__/0034/README.md,2,345
/mnt/data/p1_v11_source_scan/src1/__nested__/0033/STEP12-H_FINAL_RBAC_RLS_GATE_STEP13_HANDOFF_FULL_VERSION_v1.1_FULL_REBUILD.zip,src1/__nested__/0033/__nested__/0034/STEP12-H_AUTHORITY_RBAC_FINAL_RECONCILIATION.csv,2,2321
/mnt/data/p1_v11_source_scan/src1/__nested__/0033/STEP12-H_FINAL_RBAC_RLS_GATE_STEP13_HANDOFF_FULL_VERSION_v1.1_FULL_REBUILD.zip,src1/__nested__/0033/__nested__/0034/STEP12-H_CAPABILITY_API_RECONCILIATION.csv,2,3984
/mnt/data/p1_v11_source_scan/src1/__nested__/0033/STEP12-H_FINAL_RBAC_RLS_GATE_STEP13_HANDOFF_FULL_VERSION_v1.1_FULL_REBUILD.zip,src1/__nested__/0033/__nested__/0034/STEP12-H_CONTROLLED_RESIDUAL_REGISTER.csv,2,1891
