relationship_id,source_entity,target_entity,relationship_type,cardinality,dictionary_fk_columns,physical_fk_status,physical_fk_evidence,reconciliation_status,d_action,notes
R-116,USERS,ENROLLMENTS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-117,USERS,EVENT_REGISTRATIONS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-118,USERS,EVENTS,CORE_PRESERVED_FK,1:N,submitted_by,PHYSICAL_FK_PRESENT,submitted_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-119,USERS,LEARNING_ACTIVITY_COMPLETIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-120,USERS,LEARNING_POINT_ACCOUNTS,CORE_PRESERVED_FK,1:1,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-121,USERS,LEARNING_POINT_TRANSACTIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-122,USERS,LEARNING_SESSION_ASSIGNMENTS,CORE_PRESERVED_FK,1:N,actor_id; created_by; revoked_by,PHYSICAL_FK_PRESENT,actor_id→users.id; created_by→users.id; revoked_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-123,USERS,LEARNING_SESSIONS,CORE_PRESERVED_FK,1:N,owner_id,PHYSICAL_FK_PRESENT,owner_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-124,USERS,LEARNING_UNLOCK_PROGRESSIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-125,USERS,LISTING_LEADS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-126,USERS,LISTINGS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-127,USERS,NOTIFICATIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-128,USERS,OPERATIONAL_QUOTA_POOLS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-129,USERS,ORGANIZATION_INVITATIONS,CORE_PRESERVED_FK,1:N,agent_id; leader_id,PHYSICAL_FK_PRESENT,agent_id→users.id; leader_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-130,USERS,ORGANIZATION_MEMBERS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-131,USERS,ORGANIZATIONS,CORE_PRESERVED_FK,1:N,created_by,PHYSICAL_FK_PRESENT,created_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-132,USERS,QUALIFICATION_EVALUATIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-133,USERS,QUALIFICATION_EVIDENCE,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-134,USERS,QUOTA_ALLOCATIONS,CORE_PRESERVED_FK,1:N,beneficiary_user_id,PHYSICAL_FK_PRESENT,beneficiary_user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-135,USERS,SESSION_ENROLLMENTS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-136,USERS,SUBSCRIPTIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-137,USERS,SYSTEM_CONFIGS,CORE_PRESERVED_FK,1:N,updated_by,PHYSICAL_FK_PRESENT,updated_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-138,USERS,TITLE_PRESENTATIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-139,EVENTS,EVENT_PROVIDER_BINDING,NEW_LOGICAL,1:N,event_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,Do not use events.meeting_link as provider-binding identity; M04 session_provider_bindings is separate.
R-140,DEVELOPER_PROJECTS,MARKETING_KIT,NEW_LOGICAL,1:N,project_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,Brochure/pricelist resource; not developer_project_media.
R-141,ROLES,PERMISSION_PRESET,NEW_LOGICAL,1:N,target_role_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,RECONCILED,DEFER_PHYSICAL_REALIZATION,Preset cannot create capabilities outside role baseline.
R-142,PERMISSION_PRESET,PERMISSION_PRESET_ITEM,NEW_LOGICAL,1:N,preset_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,RECONCILED,DEFER_PHYSICAL_REALIZATION,Unique preset/permission pair expected downstream.
R-143,PERMISSIONS,PERMISSION_PRESET_ITEM,NEW_LOGICAL,1:N,permission_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,No capability invention.
R-144,USERS,USER_PERMISSION_PRESET,NEW_LOGICAL,0..1,user_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,Assignment must match user's role.
R-145,PERMISSION_PRESET,USER_PERMISSION_PRESET,NEW_LOGICAL,1:N,preset_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,RECONCILED,DEFER_PHYSICAL_REALIZATION,Within role baseline.
R-146,ORGANIZATIONS,ORGANIZATION_DOCUMENT,NEW_LOGICAL,1:N,organization_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,"Distinct from agent verification, qualification evidence, session artifacts, project media."
R-147,QUOTA_USAGE,LISTINGS,SEMANTIC_REFERENCE,N:1*,consuming_resource_reference,SEMANTIC_REFERENCE_ONLY,,PASS,NO_PHYSICAL_FK,Polymorphic reference; not a direct FK claim. M03 remains Refresh action authority.
R-148,REF_PROVINCES,DEVELOPER_PROJECTS,NEW_LOGICAL,1:N,province_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,Logical Province reference for Developer Project; current physical Core table does not yet corroborate developer_projects.province_id.
R-149,REF_DISTRICTS,DEVELOPER_PROJECTS,NEW_LOGICAL,1:N,district_id,CONTROLLED_NO_CURRENT_PHYSICAL_FK,,PASS,DEFER_PHYSICAL_REALIZATION,Logical District reference for Developer Project; current physical Core table does not yet corroborate developer_projects.district_id.
