relationship_id,source_entity,target_entity,source_module,target_module,relationship_type,cardinality,optional_target_reference,basis,fk_columns,authority,notes
R-121,USERS,LEARNING_POINT_TRANSACTIONS,M01,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-122,USERS,LEARNING_SESSION_ASSIGNMENTS,M01,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,actor_id; created_by; revoked_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-123,USERS,LEARNING_SESSIONS,M01,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,owner_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-124,USERS,LEARNING_UNLOCK_PROGRESSIONS,M01,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-125,USERS,LISTING_LEADS,M01,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-126,USERS,LISTINGS,M01,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-127,USERS,NOTIFICATIONS,M01,M08,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-128,USERS,OPERATIONAL_QUOTA_POOLS,M01,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-129,USERS,ORGANIZATION_INVITATIONS,M01,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id; leader_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-130,USERS,ORGANIZATION_MEMBERS,M01,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-131,USERS,ORGANIZATIONS,M01,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,created_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-132,USERS,QUALIFICATION_EVALUATIONS,M01,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-133,USERS,QUALIFICATION_EVIDENCE,M01,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-134,USERS,QUOTA_ALLOCATIONS,M01,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,beneficiary_user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-135,USERS,SESSION_ENROLLMENTS,M01,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-136,USERS,SUBSCRIPTIONS,M01,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-137,USERS,SYSTEM_CONFIGS,M01,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,updated_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-138,USERS,TITLE_PRESENTATIONS,M01,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-139,EVENTS,EVENT_PROVIDER_BINDING,M05,M05,NEW_LOGICAL,1:N,NO,Event Provider Binding is a distinct persistent binding resource; active binding is a constrained subset.,event_id,M05 v1.3 + STEP10-A0-R1,Do not use events.meeting_link as provider-binding identity; M04 session_provider_bindings is separate.
R-140,DEVELOPER_PROJECTS,MARKETING_KIT,M06,M06,NEW_LOGICAL,1:N,NO,Marketing Kit is project-scoped and distinct from photo/video Project Media.,project_id,M06 v1.5 + A0-R1,Brochure/pricelist resource; not developer_project_media.
R-141,ROLES,PERMISSION_PRESET,M10,M10,NEW_LOGICAL,1:N,NO,Preset is targeted to an existing role baseline.,role_id,M10 v1.1 + A0-R1,Preset cannot create capabilities outside role baseline.
R-142,PERMISSION_PRESET,PERMISSION_PRESET_ITEM,M10,M10,NEW_LOGICAL,1:N,NO,Preset contains permission items.,permission_preset_id,M10 v1.1 + A0-R1,Unique preset/permission pair expected downstream.
R-143,PERMISSIONS,PERMISSION_PRESET_ITEM,M10,M10,NEW_LOGICAL,1:N,NO,Permission item references an established permission.,permission_id,M10 v1.1 + A0-R1,No capability invention.
R-144,USERS,USER_PERMISSION_PRESET,CORE,M10,NEW_LOGICAL,0..1,YES,A user may have at most one assigned preset under current model.,user_id,M10 v1.1 + A0-R1,Assignment must match user's role.
R-145,PERMISSION_PRESET,USER_PERMISSION_PRESET,M10,M10,NEW_LOGICAL,1:N,NO,A preset may be assigned to multiple users.,permission_preset_id,M10 v1.1 + A0-R1,Within role baseline.
R-146,ORGANIZATIONS,ORGANIZATION_DOCUMENT,M12,M12,NEW_LOGICAL,1:N,NO,Organization-owned document resource.,organization_id,M12 v1.0 + A0-R1,"Distinct from agent verification, qualification evidence, session artifacts, project media."
R-147,QUOTA_USAGE,LISTINGS,M14,M03,SEMANTIC_REFERENCE,N:1*,YES,Daily Refresh consumption may reference a Listing through generic consuming_resource_type/reference.,consuming_resource_reference,M14 v2.2 + A0-R1,Polymorphic reference; not a direct FK claim. M03 remains Refresh action authority.
R-148,REF_PROVINCES,DEVELOPER_PROJECTS,CORE,M06,NEW_LOGICAL,1:N,NO,M06 v1.5 Project Field Inventory + M03-compatible field mapping,province_id,M06 v1.5,Logical Province reference for Developer Project; current physical Core table does not yet corroborate developer_projects.province_id.
R-149,REF_DISTRICTS,DEVELOPER_PROJECTS,CORE,M06,NEW_LOGICAL,1:N,NO,M06 v1.5 Project Field Inventory + M03-compatible field mapping,district_id,M06 v1.5,Logical District reference for Developer Project; current physical Core table does not yet corroborate developer_projects.district_id.
